requirement,model_answer,completion_action,model_answer_completed,model_raw_output
Deny NetBIOS traffic from Router2 to Router1,"    ~~~Router1~~~~
    ip access-list extended deny-netbios
      deny ip any any netbios
    !
    access-group deny-netbios in
    ~~~Router2~~~~
    ip access-list extended deny-netbios
      deny ip any any netbios
    !
    access-group deny-netbios in",COMPLETED,"~~~Router1~~~~
access-list deny-netbios extended permit ip any any
access-list deny-netbios extended deny tcp host 10.0.12.2 eq netbios-ssn any
access-list deny-netbios extended deny udp host 10.0.12.2 eq netbios-ns any
access-group deny-netbios in
~~~Router2~~~~","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""~~~Router1~~~~\naccess-list deny-netbios extended permit ip any any\naccess-list deny-netbios extended deny tcp host 10.0.12.2 eq netbios-ssn any\naccess-list deny-netbios extended deny udp host 10.0.12.2 eq netbios-ns any\naccess-group deny-netbios in\n~~~Router2~~~~\n""
}"
Configure IP addresses on Router1 interfaces,"    ```
    Router1# configure terminal
    Router1(config)# interface FastEthernet0/0
    Router1(config-if)# ip address 192.168.1.1 255.255.255.0
    Router1(config-if)# no shutdown
    Router1(config-if)# exit
    Router1(config)",NO_CODE,NO_CODE,"{
  ""action"": ""NO_CODE"",
  ""completed_answer"": ""NO_CODE""
}"
Configure IP addresses on Router2 interfaces,"    ```
    Router2# configure terminal
    Router2(config)# interface FastEthernet0/0
    Router2(config-if)# ip address 192.168.1.1 255.255.255.0
    Router2(config-if)# exit
    Router2(config)# interface FastEthernet0/1
    Router2",NO_CODE,NO_CODE,"{
  ""action"": ""NO_CODE"",
  ""completed_answer"": """"
}"
Configure IP addresses on Router3 interfaces,"    ```
    Router3# configure terminal
    Router3(config)# interface FastEthernet0/0
    Router3(config-if)# ip address 192.168.1.1 255.255.255.0
    Router3(config-if)# no shutdown
    Router3(config-if)# exit
    Router3(config)",COMPLETED,"Router3# configure terminal
Router3(config)# interface FastEthernet0/0
Router3(config-if)# ip address 192.168.1.1 255.255.255.0
Router3(config-if)# no shutdown
Router3(config-if)# exit
Router3(config)
Router3(config)# interface Ethernet0/0
Router3(config-if)# ip address 10.0.23.2 255.255.255.0
Router3(config-if)# no shutdown
Router3(config-if)# exit
Router3(config)# interface Ethernet0/1
Router3(config-if)# ip address 10.0.34.1 255.255.255.0
Router3(config-if)# no shutdown
Router3(config-if)# exit
Router3(config)# interface Ethernet0/2
Router3(config-if)# ip address 10.0.2.1 255.255.255.0
Router3(config-if)# no shutdown
Router3(config-if)# exit","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router3# configure terminal\nRouter3(config)# interface FastEthernet0/0\nRouter3(config-if)# ip address 192.168.1.1 255.255.255.0\nRouter3(config-if)# no shutdown\nRouter3(config-if)# exit\nRouter3(config)\nRouter3(config)# interface Ethernet0/0\nRouter3(config-if)# ip address 10.0.23.2 255.255.255.0\nRouter3(config-if)# no shutdown\nRouter3(config-if)# exit\nRouter3(config)# interface Ethernet0/1\nRouter3(config-if)# ip address 10.0.34.1 255.255.255.0\nRouter3(config-if)# no shutdown\nRouter3(config-if)# exit\nRouter3(config)# interface Ethernet0/2\nRouter3(config-if)# ip address 10.0.2.1 255.255.255.0\nRouter3(config-if)# no shutdown\nRouter3(config-if)# exit\n""
}"
Configure IP addresses on Router4 interfaces,"    ```
    Router4# configure terminal
    Router4(config)# interface FastEthernet0/0
    Router4(config-if)# ip address 192.168.1.1 255.255.255.0
    Router4(config-if)# no shutdown
    Router4(config-if)# exit
    Router4(config)",COMPLETED,"Router4# configure terminal
Router4(config)# interface FastEthernet0/0
Router4(config-if)# ip address 192.168.1.1 255.255.255.0
Router4(config-if)# no shutdown
Router4(config-if)# exit
Router4(config)
Router4(config)# interface Ethernet0/0
Router4(config-if)# ip address 10.0.14.2 255.255.255.0
Router4(config-if)# no shutdown
Router4(config-if)# exit
Router4(config)# interface Ethernet0/1
Router4(config-if)# ip address 10.0.24.2 255.255.255.0
Router4(config-if)# no shutdown
Router4(config-if)# exit
Router4(config)# interface Ethernet0/2
Router4(config-if)# ip address 10.0.34.2 255.255.255.0
Router4(config-if)# no shutdown
Router4(config-if)# exit","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router4# configure terminal\nRouter4(config)# interface FastEthernet0/0\nRouter4(config-if)# ip address 192.168.1.1 255.255.255.0\nRouter4(config-if)# no shutdown\nRouter4(config-if)# exit\nRouter4(config)\nRouter4(config)# interface Ethernet0/0\nRouter4(config-if)# ip address 10.0.14.2 255.255.255.0\nRouter4(config-if)# no shutdown\nRouter4(config-if)# exit\nRouter4(config)# interface Ethernet0/1\nRouter4(config-if)# ip address 10.0.24.2 255.255.255.0\nRouter4(config-if)# no shutdown\nRouter4(config-if)# exit\nRouter4(config)# interface Ethernet0/2\nRouter4(config-if)# ip address 10.0.34.2 255.255.255.0\nRouter4(config-if)# no shutdown\nRouter4(config-if)# exit\n""
}"
Enable interfaces giga0/0 on Router1 and Router3,"    ```
    Router1# configure terminal
    Router1(config)# interface gigabitethernet 0/0
    Router1(config-if)# ip address 192.168.1.1 255.255.255.0
    Router1(config-if)# encapsulation dot1q 100
    Router1(config-if)# exit
    Router1#

    Router3# configure terminal
    Router3(config)# interface",COMPLETED,"Router1# configure terminal
Router1(config)# interface gigabitethernet 0/0
Router1(config-if)# ip address 192.168.1.1 255.255.255.0
Router1(config-if)# encapsulation dot1q 100
Router1(config-if)# no shutdown
Router1(config-if)# exit
Router1#

Router3# configure terminal
Router3(config)# interface gigabitethernet 0/0
Router3(config-if)# ip address 192.168.2.1 255.255.255.0
Router3(config-if)# encapsulation dot1q 200
Router3(config-if)# no shutdown
Router3(config-if)# exit
Router3#","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""    \nRouter1# configure terminal\nRouter1(config)# interface gigabitethernet 0/0\nRouter1(config-if)# ip address 192.168.1.1 255.255.255.0\nRouter1(config-if)# encapsulation dot1q 100\nRouter1(config-if)# no shutdown\nRouter1(config-if)# exit\nRouter1#\n\nRouter3# configure terminal\nRouter3(config)# interface gigabitethernet 0/0\nRouter3(config-if)# ip address 192.168.2.1 255.255.255.0\nRouter3(config-if)# encapsulation dot1q 200\nRouter3(config-if)# no shutdown\nRouter3(config-if)# exit\nRouter3#""
}"
Enable interfaces giga0/1 on Router1 and Router2,"    ```
    Router1# configure terminal
    Router1(config)# interface gigabitethernet 0/1
    Router1(config-if)# ip address 192.168.1.1 255.255.255.0
    Router1(config-if)# encapsulation dot1q 100
    Router1(config-if)# exit
    Router1(config)#

    Router2# configure terminal
    Router2(config",COMPLETED,"Router1# configure terminal
Router1(config)# interface gigabitethernet 0/1
Router1(config-if)# ip address 10.0.12.1 255.255.255.0
Router1(config-if)# encapsulation dot1q 100
Router1(config-if)# no shutdown
Router1(config-if)# exit
Router1(config)##

Router2# configure terminal
Router2(config)# interface gigabitethernet 0/0
Router2(config-if)# ip address 10.0.12.2 255.255.255.0
Router2(config-if)# encapsulation dot1q 100
Router2(config-if)# no shutdown
Router2(config-if)# exit
Router2(config)##","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""    \nRouter1# configure terminal\nRouter1(config)# interface gigabitethernet 0/1\nRouter1(config-if)# ip address 10.0.12.1 255.255.255.0\nRouter1(config-if)# encapsulation dot1q 100\nRouter1(config-if)# no shutdown\nRouter1(config-if)# exit\nRouter1(config)##\n\nRouter2# configure terminal\nRouter2(config)# interface gigabitethernet 0/0\nRouter2(config-if)# ip address 10.0.12.2 255.255.255.0\nRouter2(config-if)# encapsulation dot1q 100\nRouter2(config-if)# no shutdown\nRouter2(config-if)# exit\nRouter2(config)##""
}"
Enable interfaces giga0/2 on Router1 and Router4,"    ```
    Router1# configure terminal
    Router1(config)# interface gigabitethernet ",COMPLETED,"Router1# configure terminal
Router1(config)# interface gigabitethernet 0/2
Router1(config-if)# no shutdown
Router1(config-if)# exit
Router1(config)# interface gigabitethernet 0/2
Router1(config-if)# no shutdown
Router1(config-if)# exit
Router1(config)# exit
Router1# configure terminal
Router1(config)# interface gigabitethernet 0/0
Router1(config-if)# no shutdown
Router1(config-if)# exit
Router1(config)# exit
Router1# configure terminal
Router1(config)# interface gigabitethernet 0/2
Router1(config-if)# no shutdown
Router1(config-if)# exit
Router1(config)# exit","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""    Router1# configure terminal\nRouter1(config)# interface gigabitethernet 0/2\nRouter1(config-if)# no shutdown\nRouter1(config-if)# exit\nRouter1(config)# interface gigabitethernet 0/2\nRouter1(config-if)# no shutdown\nRouter1(config-if)# exit\nRouter1(config)# exit\nRouter1# configure terminal\nRouter1(config)# interface gigabitethernet 0/0\nRouter1(config-if)# no shutdown\nRouter1(config-if)# exit\nRouter1(config)# exit\nRouter1# configure terminal\nRouter1(config)# interface gigabitethernet 0/2\nRouter1(config-if)# no shutdown\nRouter1(config-if)# exit\nRouter1(config)# exit\n""
}"
Enable interfaces giga0/0 on Router2 and Router4,"    ```
    Router2# configure terminal
    Router2(config)# interface gigabitethernet 0/0
    Router2(config-if)# ip address 192.168.1.2 255.255.255.0
    Router2(config-if)# encapsulation dot1q 100
    Router2(config-if)# exit

    Router4# configure terminal
    Router4(config)# interface gigabitethernet ",COMPLETED,"Router2# configure terminal
Router2(config)# interface gigabitethernet 0/0
Router2(config-if)# ip address 192.168.1.2 255.255.255.0
Router2(config-if)# encapsulation dot1q 100
Router2(config-if)# no shutdown
Router2(config-if)# exit

Router4# configure terminal
Router4(config)# interface gigabitethernet 0/0
Router4(config-if)# ip address 192.168.1.3 255.255.255.0
Router4(config-if)# encapsulation dot1q 100
Router4(config-if)# no shutdown
Router4(config-if)# exit","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""    \nRouter2# configure terminal\nRouter2(config)# interface gigabitethernet 0/0\nRouter2(config-if)# ip address 192.168.1.2 255.255.255.0\nRouter2(config-if)# encapsulation dot1q 100\nRouter2(config-if)# no shutdown\nRouter2(config-if)# exit\n\nRouter4# configure terminal\nRouter4(config)# interface gigabitethernet 0/0\nRouter4(config-if)# ip address 192.168.1.3 255.255.255.0\nRouter4(config-if)# encapsulation dot1q 100\nRouter4(config-if)# no shutdown\nRouter4(config-if)# exit""
}"
Enable interfaces giga0/1 on Router2 and Router1,"    ```
    Router2# configure terminal
    Router2(config)# interface gigabitethernet 0/1
    Router2(config-if)# ip address 192.168.1.2 255.255.255.0
    Router2(config-if)# bandwidth 1000000000
    Router2(config-if)# exit
    Router2(config)#

",COMPLETED,"Router2# configure terminal
Router2(config)# interface gigabitethernet 0/1
Router2(config-if)# ip address 192.168.1.2 255.255.255.0
Router2(config-if)# bandwidth 1000000000
Router2(config-if)# no shutdown
Router2(config-if)# exit
Router2(config)#

Router1# configure terminal
Router1(config)# interface gigabitethernet 0/1
Router1(config-if)# ip address 192.168.1.1 255.255.255.0
Router1(config-if)# bandwidth 1000000000
Router1(config-if)# no shutdown
Router1(config-if)# exit
Router1(config)#","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""    \nRouter2# configure terminal\nRouter2(config)# interface gigabitethernet 0/1\nRouter2(config-if)# ip address 192.168.1.2 255.255.255.0\nRouter2(config-if)# bandwidth 1000000000\nRouter2(config-if)# no shutdown\nRouter2(config-if)# exit\nRouter2(config)#\n\nRouter1# configure terminal\nRouter1(config)# interface gigabitethernet 0/1\nRouter1(config-if)# ip address 192.168.1.1 255.255.255.0\nRouter1(config-if)# bandwidth 1000000000\nRouter1(config-if)# no shutdown\nRouter1(config-if)# exit\nRouter1(config)#""
}"
Enable interfaces giga0/2 on Router2 and Router3,"    ```
    Router2# configure terminal
    Router2(config)# interface gigabitethernet 0/2
    Router2(config-if)# ip address 192.168.1.2 255.255.255.0
    Router2(config-if)# no shutdown
    Router2(config-if)# exit
    Router2(config)# ip routing

    Router3# configure terminal
    Router3(config)# interface gigabitether",COMPLETED,"Router2# configure terminal
Router2(config)# interface gigabitethernet 0/2
Router2(config-if)# ip address 192.168.1.2 255.255.255.0
Router2(config-if)# no shutdown
Router2(config-if)# exit
Router2(config)# ip routing

Router3# configure terminal
Router3(config)# interface gigabitethernet 0/2
Router3(config-if)# ip address 192.168.1.3 255.255.255.0
Router3(config-if)# no shutdown
Router3(config-if)# exit
Router3(config)# ip routing","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""    \nRouter2# configure terminal\nRouter2(config)# interface gigabitethernet 0/2\nRouter2(config-if)# ip address 192.168.1.2 255.255.255.0\nRouter2(config-if)# no shutdown\nRouter2(config-if)# exit\nRouter2(config)# ip routing\n\nRouter3# configure terminal\nRouter3(config)# interface gigabitethernet 0/2\nRouter3(config-if)# ip address 192.168.1.3 255.255.255.0\nRouter3(config-if)# no shutdown\nRouter3(config-if)# exit\nRouter3(config)# ip routing""
}"
Enable interfaces giga0/0 on Router3 and Router4,"    ```
    Router3# configure terminal
    Router3(config)# interface gigabitethernet 0/0
    Router3(config-if)# ip address 192.168.1.3 255.255.255.0
    Router3(config-",COMPLETED,"Router3# configure terminal
Router3(config)# interface gigabitethernet 0/0
Router3(config-if)# ip address 192.168.1.3 255.255.255.0
Router3(config-if)# no shutdown
Router3(config-if)# exit
Router3(config)# interface gigabitethernet 0/1
Router3(config-if)# no shutdown
Router3(config-if)# exit
Router3(config)#
Router4# configure terminal
Router4(config)# interface gigabitethernet 0/0
Router4(config-if)# ip address 192.168.1.4 255.255.255.0
Router4(config-if)# no shutdown
Router4(config-if)# exit
Router4(config)# interface gigabitethernet 0/1
Router4(config-if)# no shutdown
Router4(config-if)# exit
Router4(config)#","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router3# configure terminal\nRouter3(config)# interface gigabitethernet 0/0\nRouter3(config-if)# ip address 192.168.1.3 255.255.255.0\nRouter3(config-if)# no shutdown\nRouter3(config-if)# exit\nRouter3(config)# interface gigabitethernet 0/1\nRouter3(config-if)# no shutdown\nRouter3(config-if)# exit\nRouter3(config)#\nRouter4# configure terminal\nRouter4(config)# interface gigabitethernet 0/0\nRouter4(config-if)# ip address 192.168.1.4 255.255.255.0\nRouter4(config-if)# no shutdown\nRouter4(config-if)# exit\nRouter4(config)# interface gigabitethernet 0/1\nRouter4(config-if)# no shutdown\nRouter4(config-if)# exit\nRouter4(config)#""
}"
Enable interfaces giga0/1 on Router3 and Router2,"    ```
    Router3# configure terminal
    Router3(config)# interface GigabitEthernet0/1
    Router3(config-if)# ip address 192.168.1.3 255.255.255.0
    Router3(config-if)# bandwidth 1000000000
    Router3(config-if)# exit

    Router2# configure terminal
",COMPLETED,"Router3# configure terminal
    Router3(config)# interface GigabitEthernet0/1
    Router3(config-if)# ip address 192.168.1.3 255.255.255.0
    Router3(config-if)# bandwidth 1000000000
    Router3(config-if)# no shutdown
    Router3(config-if)# exit

    Router2# configure terminal
    Router2(config)# interface GigabitEthernet0/1
    Router2(config-if)# ip address 192.168.1.2 255.255.255.0
    Router2(config-if)# bandwidth 1000000000
    Router2(config-if)# no shutdown
    Router2(config-if)# exit","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""    Router3# configure terminal\n    Router3(config)# interface GigabitEthernet0/1\n    Router3(config-if)# ip address 192.168.1.3 255.255.255.0\n    Router3(config-if)# bandwidth 1000000000\n    Router3(config-if)# no shutdown\n    Router3(config-if)# exit\n\n    Router2# configure terminal\n    Router2(config)# interface GigabitEthernet0/1\n    Router2(config-if)# ip address 192.168.1.2 255.255.255.0\n    Router2(config-if)# bandwidth 1000000000\n    Router2(config-if)# no shutdown\n    Router2(config-if)# exit\n""
}"
Enable interfaces giga0/2 on Router3 and Router1,"    ```
    Router3# configure terminal
    Router3(config)# interface gigabitethernet 0/2
    Router3(config-if)# ip address 10.1.1.100 255.255.",COMPLETED,"Router3# configure terminal
Router3(config)# interface gigabitethernet 0/2
Router3(config-if)# ip address 10.0.2.1 255.255.255.0
Router3(config-if)# no shutdown
Router3(config-if)# exit
Router3(config)# exit
Router3# configure terminal
Router3(config)# interface gigabitethernet 0/0
Router3(config-if)# no shutdown
Router3(config-if)# exit
Router3(config)# exit
Router1# configure terminal
Router1(config)# interface gigabitethernet 0/2
Router1(config-if)# ip address 10.0.14.1 255.255.255.0
Router1(config-if)# no shutdown
Router1(config-if)# exit
Router1(config)# exit","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router3# configure terminal\nRouter3(config)# interface gigabitethernet 0/2\nRouter3(config-if)# ip address 10.0.2.1 255.255.255.0\nRouter3(config-if)# no shutdown\nRouter3(config-if)# exit\nRouter3(config)# exit\nRouter3# configure terminal\nRouter3(config)# interface gigabitethernet 0/0\nRouter3(config-if)# no shutdown\nRouter3(config-if)# exit\nRouter3(config)# exit\nRouter1# configure terminal\nRouter1(config)# interface gigabitethernet 0/2\nRouter1(config-if)# ip address 10.0.14.1 255.255.255.0\nRouter1(config-if)# no shutdown\nRouter1(config-if)# exit\nRouter1(config)# exit""
}"
Enable interfaces giga0/0 on Router4 and Router2,"    ```
    Router4# configure terminal
    Router4(config)# interface gigabitethernet 0/0
    Router4(config-if)# ip address 10.1.1.4 255.255.255.0
    Router4(config-if)# bandwidth 1000000000
    Router4(config-if)# exit
    Router4#

    Router2# configure",COMPLETED,"Router4# configure terminal
Router4(config)# interface gigabitethernet 0/0
Router4(config-if)# ip address 10.0.14.2 255.255.255.0
Router4(config-if)# bandwidth 1000000000
Router4(config-if)# no shutdown
Router4(config-if)# exit
Router4# 

Router2# configure terminal
Router2(config)# interface gigabitethernet 0/0
Router2(config-if)# ip address 10.0.12.2 255.255.255.0
Router2(config-if)# bandwidth 1000000000
Router2(config-if)# no shutdown
Router2(config-if)# exit
Router2#","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""    \nRouter4# configure terminal\nRouter4(config)# interface gigabitethernet 0/0\nRouter4(config-if)# ip address 10.0.14.2 255.255.255.0\nRouter4(config-if)# bandwidth 1000000000\nRouter4(config-if)# no shutdown\nRouter4(config-if)# exit\nRouter4# \n\nRouter2# configure terminal\nRouter2(config)# interface gigabitethernet 0/0\nRouter2(config-if)# ip address 10.0.12.2 255.255.255.0\nRouter2(config-if)# bandwidth 1000000000\nRouter2(config-if)# no shutdown\nRouter2(config-if)# exit\nRouter2# ""
}"
Enable interfaces giga0/1 on Router4 and Router3,"    ```
    Router4# configure terminal
    Router4(config)# interface gigabitethernet 0/1
    Router4(config-if)# ip address 10.1.1.4 255.255.255.0
    Router4(config-if)# bandwidth 1000000000
    Router3# configure terminal
    Router3(config)# interface gigabitethernet 0/",COMPLETED,"Router4# configure terminal
    Router4(config)# interface gigabitethernet 0/1
    Router4(config-if)# ip address 10.1.1.4 255.255.255.0
    Router4(config-if)# bandwidth 1000000000
    Router3# configure terminal
    Router3(config)# interface gigabitethernet 0/1
    Router3(config-if)# ip address 10.1.1.3 255.255.255.0
    Router3(config-if)# bandwidth 1000000000","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""    Router4# configure terminal\n    Router4(config)# interface gigabitethernet 0/1\n    Router4(config-if)# ip address 10.1.1.4 255.255.255.0\n    Router4(config-if)# bandwidth 1000000000\n    Router3# configure terminal\n    Router3(config)# interface gigabitethernet 0/1\n    Router3(config-if)# ip address 10.1.1.3 255.255.255.0\n    Router3(config-if)# bandwidth 1000000000""
}"
Enable interfaces giga0/2 on Router4 and Router1,"    ```
    Router4# configure terminal
    Router4(config)# interface gigabitethernet 0/2
    Router4(config-if)# ip address 192.168.1.100 255.255.255.0
    Router4(config-if)# no shutdown
    Router4(config-if)# exit
    Router4(config)# ip routing

    Router10# configure terminal
    Router10(config)#",COMPLETED,"Router4# configure terminal
Router4(config)# interface gigabitethernet 0/2
Router4(config-if)# ip address 192.168.1.100 255.255.255.0
Router4(config-if)# no shutdown
Router4(config-if)# exit
Router4(config)# ip routing

Router1# configure terminal
Router1(config)# interface gigabitethernet 0/2
Router1(config-if)# ip address 192.168.1.1 255.255.255.0
Router1(config-if)# no shutdown
Router1(config-if)# exit
Router1(config)# ip routing","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""    \nRouter4# configure terminal\nRouter4(config)# interface gigabitethernet 0/2\nRouter4(config-if)# ip address 192.168.1.100 255.255.255.0\nRouter4(config-if)# no shutdown\nRouter4(config-if)# exit\nRouter4(config)# ip routing\n\nRouter1# configure terminal\nRouter1(config)# interface gigabitethernet 0/2\nRouter1(config-if)# ip address 192.168.1.1 255.255.255.0\nRouter1(config-if)# no shutdown\nRouter1(config-if)# exit\nRouter1(config)# ip routing""
}"
Configure routing protocol between Router1 and Router2,"    ```
    Router1# configure terminal
    Router1(config)# router ospfv3 1
    Router1(config-router)# network 10.1.1.0/24 area 0
    Router1(config-router",NO_CODE,NO_CODE,"{
  ""action"": ""NO_CODE"",
  ""completed_answer"": ""NO_CODE""
}"
Configure routing protocol between Router1 and Router3,"    ```
    Router1# configure terminal
    Router1(config)# router ospfv3 1
    Router1(config-router)# network 192.168.1.0/24 area 0
    Router1(config-router)# cost 10
    Router1(config-router",NO_CODE,NO_CODE,"{
  ""action"": ""NO_CODE"",
  ""completed_answer"": ""NO_CODE""
}"
Configure routing protocol between Router1 and Router4,"    ```
    Router1# configure terminal
    Router1(config)# router ospfv3 1
    Router1(config-router)# area 0
    Router1(config-router)# interface Ethernet0/0
    Router1(config-if)# ipv6 address 2001:DB8:1::1/64
    Router1(config-if)# ipv6 ospf 1 area 0
    Router1(config-if)# exit
    R",COMPLETED,"Router1# configure terminal
Router1(config)# router ospfv3 1
Router1(config-router)# area 0
Router1(config-router)# interface Ethernet0/0
Router1(config-if)# ipv6 address 2001:DB8:1::1/64
Router1(config-if)# ipv6 ospf 1 area 0
Router1(config-if)# exit
Router1(config-router)# interface Ethernet0/2
Router1(config-if)# ipv6 address 2001:DB8:14::1/64
Router1(config-if)# ipv6 ospf 1 area 0
Router1(config-if)# exit","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router1# configure terminal\nRouter1(config)# router ospfv3 1\nRouter1(config-router)# area 0\nRouter1(config-router)# interface Ethernet0/0\nRouter1(config-if)# ipv6 address 2001:DB8:1::1/64\nRouter1(config-if)# ipv6 ospf 1 area 0\nRouter1(config-if)# exit\nRouter1(config-router)# interface Ethernet0/2\nRouter1(config-if)# ipv6 address 2001:DB8:14::1/64\nRouter1(config-if)# ipv6 ospf 1 area 0\nRouter1(config-if)# exit\n""
}"
Configure routing protocol between Router2 and Router4,"    ```
    Router2# configure terminal
    Router2(config)# router ospfv3 1
    Router2(config-router)# network 192.168.1.0/24 area 0
    Router2(config-router)# priority 100
   ",NO_CODE,NO_CODE,"{
  ""action"": ""NO_CODE"",
  ""completed_answer"": ""NO_CODE""
}"
Configure routing protocol between Router2 and Router3,"    ```
    Router2# configure terminal
    Router2(config)# router ospfv3 1
    Router2(config-router)# network 2001:db8:12",NO_CODE,NO_CODE,"{
  ""action"": ""NO_CODE"",
  ""completed_answer"": ""NO_CODE""
}"
Configure routing protocol between Router3 and Router4,"    ```cisco
    Router3# configure terminal
    Router3(config)# router ospfv3 1
    Router3(config-router)# area 0
    Router3(config-router)# interface Ethernet 0/0
    Router3(config-if)# ipv6 address 2001:DB8:1::1/64",NO_CODE,NO_CODE,"{
  ""action"": ""NO_CODE"",
  ""completed_answer"": ""NO_CODE""
}"
Configure static route on Router1 for network 50.0.0.0/24,"
    ```cisco
    Router1# configure terminal
    Router1(config)# ip route 50.0.0.0 255.255.0.0 10.1.1.1
    ```",COMPLETED,"Router1# configure terminal
Router1(config)# ip route 50.0.0.0 255.255.255.0 10.0.14.2","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router1# configure terminal\nRouter1(config)# ip route 50.0.0.0 255.255.255.0 10.0.14.2""
}"
Configure static route on Router2 for network 30.0.0.0/24,"    ```
    Router2# configure terminal
    Router2(config)# ip route 30.0.0.0 255.255.0.0 192.168.1.1
    ```",COMPLETED,"Router2# configure terminal
Router2(config)# ip route 30.0.0.0 255.255.255.0 10.0.12.1","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router2# configure terminal\nRouter2(config)# ip route 30.0.0.0 255.255.255.0 10.0.12.1""
}"
Configure static route on Router3 for network 40.0.0.0/24,"    ~~~Router3~~~~
    Router3# configure terminal
    Router3(config)# ip route 40.0.0.0 25",COMPLETED,"~~~Router3~~~~
Router3# configure terminal
Router3(config)# ip route 40.0.0.0 255.255.255.0 10.0.23.1","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""~~~Router3~~~~\nRouter3# configure terminal\nRouter3(config)# ip route 40.0.0.0 255.255.255.0 10.0.23.1""
}"
Configure static route on Router4 for network 20.0.0.0/24,"    ```
    Router4(config)# ip route 20.0.0.0 255.255.255.0 192.168.1.1
    ```",COMPLETED,Router4(config)# ip route 20.0.0.0 255.255.255.0 192.168.1.1,"{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router4(config)# ip route 20.0.0.0 255.255.255.0 192.168.1.1""
}"
Allow ICMP traffic from Router1 to Router4,"    ```
    Router1# configure terminal
    Router1(config)# ip access-list extended ICMP-ALLOW
    Router1(config-ext-nacl)# permit icmp any Router4
    Router1(config-ext-nacl)# exit
    Router1(config)# ip access-list extended ICMP-DENY
    Router1(config-ext-nacl)# deny icmp any any
    Router1(config-ext-nacl)# exit
    Router1(config)# ip access-group ICMP-",COMPLETED,"Router1# configure terminal
Router1(config)# ip access-list extended ICMP-ALLOW
Router1(config-ext-nacl)# permit icmp any host 10.0.14.2
Router1(config-ext-nacl)# exit
Router1(config)# ip access-list extended ICMP-DENY
Router1(config-ext-nacl)# deny icmp any any
Router1(config-ext-nacl)# exit
Router1(config)# interface Ethernet0/2
Router1(config-if)# ip access-group ICMP-ALLOW out
Router1(config-if)# exit","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router1# configure terminal\nRouter1(config)# ip access-list extended ICMP-ALLOW\nRouter1(config-ext-nacl)# permit icmp any host 10.0.14.2\nRouter1(config-ext-nacl)# exit\nRouter1(config)# ip access-list extended ICMP-DENY\nRouter1(config-ext-nacl)# deny icmp any any\nRouter1(config-ext-nacl)# exit\nRouter1(config)# interface Ethernet0/2\nRouter1(config-if)# ip access-group ICMP-ALLOW out\nRouter1(config-if)# exit""
}"
Permit SNMP traps from Router3 to Management Network,"    ```cisco
    Router3# configure terminal
    Router3(config)# snmp-server enable traps
    Router3(config)# snmp-server host 10.1.1.0 161
    Router3(config)# snmp-server trap-source Loopback0
    Router3(config)# snmp-server trap-group 10.1.1.0
    Router3(config)# exit
    ```",COMPLETED,"Router3# configure terminal
Router3(config)# snmp-server enable traps
Router3(config)# snmp-server host 10.0.2.10 version 2c public
Router3(config)# snmp-server trap-source Ethernet0/2
Router3(config)# exit","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router3# configure terminal\nRouter3(config)# snmp-server enable traps\nRouter3(config)# snmp-server host 10.0.2.10 version 2c public\nRouter3(config)# snmp-server trap-source Ethernet0/2\nRouter3(config)# exit""
}"
Deny Telnet traffic from WAN to LAN on Router4,"
    ```
    Router4(config)# access-list 101 deny tcp any any eq 23
    Router4(config)# interface FastEthernet0/0
    Router4(config-if)# ip access-group 101 in
    ```",COMPLETED,"Router4(config)# access-list 101 deny tcp any any eq 23
Router4(config)# interface Ethernet0/1
Router4(config-if)# ip access-group 101 in","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router4(config)# access-list 101 deny tcp any any eq 23\nRouter4(config)# interface Ethernet0/1\nRouter4(config-if)# ip access-group 101 in\n""
}"
